Lpred,H,threshold,deep_bin,bite_bin,deep_count_low,deep_count_high,deep_rate_low,deep_rate_high,bite_count_low,bite_count_high,bite_rate_low,bite_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
1040,1040,40,0,2,106,214,0.10192307692307692,0.20576923076923076,29,61,0.027884615384615386,0.058653846153846154,7879,0.20050682437247774,0.048950716119776395,3060,0.3883741591572535
1040,1040,40,0,3,106,214,0.10192307692307692,0.20576923076923076,62,101,0.05961538461538462,0.09711538461538462,64503,0.19702522780696458,0.08300289253091181,27240,0.42230593925863913
1040,1040,40,0,4,106,214,0.10192307692307692,0.20576923076923076,102,308,0.09807692307692308,0.29615384615384616,257628,0.18173147836298364,0.13867524477747525,130445,0.5063308336050429
1040,1040,40,1,0,215,238,0.20673076923076922,0.22884615384615384,0,1,0.0,0.0009615384615384616,6432,0.223587142412937,8.8948287409108e-05,1076,0.16728855721393035
1040,1040,40,1,1,215,238,0.20673076923076922,0.22884615384615384,2,28,0.0019230769230769232,0.026923076923076925,16847,0.22291899721929245,0.016634837976173378,5563,0.330207158544548
1040,1040,40,1,2,215,238,0.20673076923076922,0.22884615384615384,29,61,0.027884615384615386,0.058653846153846154,84026,0.22062344713816667,0.04633038262883107,33448,0.3980672648941994
1040,1040,40,1,3,215,238,0.20673076923076922,0.22884615384615384,62,101,0.05961538461538462,0.09711538461538462,159255,0.21813007320142414,0.07810075399154015,65577,0.4117735706885184
1040,1040,40,1,4,215,238,0.20673076923076922,0.22884615384615384,102,308,0.09807692307692308,0.29615384615384616,60493,0.21460284978933183,0.11270798655668199,27257,0.45058105896550016
1040,1040,40,2,0,239,256,0.2298076923076923,0.24615384615384617,0,1,0.0,0.0009615384615384616,51189,0.24032892057635322,9.51038158739158e-05,9003,0.17587762995956163
1040,1040,40,2,1,239,256,0.2298076923076923,0.24615384615384617,2,28,0.0019230769230769232,0.026923076923076925,69149,0.23938323820235405,0.015591915784972507,20621,0.29821110934359135
1040,1040,40,2,2,239,256,0.2298076923076923,0.24615384615384617,29,61,0.027884615384615386,0.058653846153846154,125319,0.23807602229860914,0.04312695539448954,45324,0.36166902065927753
1040,1040,40,2,3,239,256,0.2298076923076923,0.24615384615384617,62,101,0.05961538461538462,0.09711538461538462,74913,0.23644460907977105,0.07318350825415364,28782,0.3842056785871611
1040,1040,40,2,4,239,256,0.2298076923076923,0.24615384615384617,102,308,0.09807692307692308,0.29615384615384616,5519,0.23473159156481074,0.10791182906602562,2207,0.3998912846530169
