idx,pair_index,prev_lock_index,next_lock_index,gap,prev_start,next_start,prev_phase,next_phase,prev_ok,next_ok,prev_bad_kind,next_bad_kind,prev_bad_offset,next_bad_offset,same_phase,same_bad_kind,same_critical_cell,critical_l1,prev_start_mod8,next_start_mod8,prev_start_mod16,next_start_mod16
5,37,37,38,1822,251212,253034,24,30,0,0,frontier_black_collision,missing_black,47,71,0,0,0,40,4,2,12,10
5,38,38,39,1867,253034,254901,30,0,0,0,missing_black,frontier_black_collision,71,45,0,0,0,55,2,5,10,5
5,39,39,40,2516,254901,257417,0,24,0,0,frontier_black_collision,missing_black,45,77,0,0,0,32,5,1,5,9
5,40,40,41,1298,257417,258715,24,103,0,0,missing_black,frontier_black_collision,77,46,0,0,0,19,1,3,9,11
5,41,41,42,12771,258715,271486,103,24,0,0,frontier_black_collision,missing_black,46,77,0,0,0,176,3,6,11,14
5,42,42,43,2899,271486,274385,24,0,0,0,missing_black,frontier_black_collision,77,46,0,0,0,20,6,1,14,1
5,43,43,44,1010,274385,275395,0,103,0,0,frontier_black_collision,frontier_black_collision,46,46,0,1,0,30,1,3,1,3
5,44,44,45,1044,275395,276439,103,0,0,0,frontier_black_collision,missing_black,46,76,0,0,0,42,3,7,3,7
5,45,45,46,8649,276439,285088,0,0,0,0,missing_black,missing_black,76,98,1,1,0,161,7,0,7,0
5,46,46,47,708,285088,285796,0,0,0,1,missing_black,,98,,1,,,,0,4,0,4
6,0,0,1,1764,1242,3006,0,0,0,0,frontier_black_collision,frontier_black_collision,46,45,1,1,0,27,2,6,10,14
6,1,1,2,283,3006,3289,0,0,0,0,frontier_black_collision,missing_black,45,76,1,0,0,10,6,1,14,9
6,2,2,3,988,3289,4277,0,103,0,0,missing_black,frontier_black_collision,76,44,0,0,0,6,1,5,9,5
6,3,3,4,101,4277,4378,103,0,0,0,frontier_black_collision,frontier_black_collision,44,43,0,1,0,14,5,2,5,10
6,4,4,5,14100,4378,18478,0,103,0,0,frontier_black_collision,frontier_black_collision,43,46,0,1,0,39,2,6,10,14
6,5,5,6,2250,18478,20728,103,0,0,0,frontier_black_collision,frontier_black_collision,46,71,0,1,0,29,6,0,14,8
6,6,6,7,565,20728,21293,0,24,0,0,frontier_black_collision,missing_black,71,77,0,0,0,21,0,5,8,13
6,7,7,8,79,21293,21372,24,100,0,0,missing_black,missing_black,77,80,0,1,0,10,5,4,13,12
6,8,8,9,1531,21372,22903,100,99,0,0,missing_black,frontier_black_collision,80,67,0,0,0,26,4,7,12,7
6,9,9,10,2238,22903,25141,99,0,0,0,frontier_black_collision,missing_black,67,76,0,0,0,39,7,5,7,5
6,10,10,11,100,25141,25241,0,92,0,0,missing_black,missing_black,76,89,0,1,0,3,5,1,5,9
6,11,11,12,15527,25241,40768,92,0,0,0,missing_black,frontier_black_collision,89,373,0,0,0,43,1,0,9,0
6,12,12,13,573,40768,41341,0,103,0,0,frontier_black_collision,frontier_black_collision,373,44,0,1,0,20,0,5,0,13
