idx,shard,onset,rngstate,threshold,start,kind,phase,is_gate,depth,death_step,first_bad_offset,bad_rel_x,bad_rel_y,bad_abs_x,bad_abs_y,required_black,actual_black,bad_kind,exogenous_reads_checked,verdict
1,1,307906,4692330403214779697,40,912,pre_onset_lock,0,1,61,973,61,-7,-2,11,14,0,1,frontier_black_collision,29,gate_exact_death
1,1,307906,4692330403214779697,40,2093,pre_onset_lock,41,0,40,2133,40,-2,0,15,20,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,3410,pre_onset_lock,41,0,40,3450,40,-2,0,15,-7,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,5954,pre_onset_lock,41,0,40,5994,40,-2,0,9,21,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,7794,pre_onset_lock,23,0,54,7848,54,1,5,-12,10,1,0,missing_black,30,mute_early_death
1,1,307906,4692330403214779697,40,11621,pre_onset_lock,30,1,47,11668,47,4,-3,-12,18,1,0,missing_black,25,gate_exact_death
1,1,307906,4692330403214779697,40,12711,pre_onset_lock,40,0,41,12752,41,1,-2,-14,18,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,16141,pre_onset_lock,30,1,86,16227,86,1,1,-20,19,1,0,missing_black,34,gate_exact_death
1,1,307906,4692330403214779697,80,16141,pre_onset_lock,30,1,86,16227,86,1,1,-20,19,1,0,missing_black,34,gate_exact_death
1,1,307906,4692330403214779697,40,16301,pre_onset_lock,0,1,45,16346,45,-5,-2,-23,17,0,1,frontier_black_collision,21,gate_exact_death
1,1,307906,4692330403214779697,40,17202,pre_onset_lock,40,0,41,17243,41,1,-2,20,17,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,17454,pre_onset_lock,41,0,40,17494,40,-2,0,25,-7,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,17935,pre_onset_lock,48,0,51,17986,51,-2,-3,27,7,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,19037,pre_onset_lock,41,0,40,19077,40,-2,0,-15,24,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,23486,pre_onset_lock,40,0,41,23527,41,1,-2,-22,5,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,24651,pre_onset_lock,40,0,41,24692,41,1,-2,2,30,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,26519,pre_onset_lock,41,0,40,26559,40,-2,0,18,25,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,29488,pre_onset_lock,41,0,40,29528,40,-2,0,-26,20,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,30849,pre_onset_lock,0,1,77,30926,77,-5,0,-21,-7,1,0,missing_black,36,gate_exact_death
1,1,307906,4692330403214779697,40,32303,pre_onset_lock,41,0,40,32343,40,-2,0,-18,-17,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,32738,pre_onset_lock,40,0,41,32779,41,1,-2,-22,-21,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,39782,pre_onset_lock,103,1,46,39828,46,3,-5,-34,12,0,1,frontier_black_collision,22,gate_exact_death
1,1,307906,4692330403214779697,40,42137,pre_onset_lock,40,0,41,42178,41,1,-2,31,19,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,44818,pre_onset_lock,23,0,54,44872,54,1,5,28,-14,1,0,missing_black,30,mute_early_death
1,1,307906,4692330403214779697,40,47419,pre_onset_lock,41,0,40,47459,40,-2,0,-32,3,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,48148,pre_onset_lock,25,1,45,48193,45,-1,-6,-37,22,0,1,frontier_black_collision,23,gate_exact_death
1,1,307906,4692330403214779697,40,48721,pre_onset_lock,40,0,41,48762,41,1,-2,-9,33,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,49163,pre_onset_lock,41,0,40,49203,40,-2,0,10,33,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,49868,pre_onset_lock,41,0,40,49908,40,-2,0,24,38,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,50292,pre_onset_lock,40,0,41,50333,41,1,-2,29,40,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,50781,pre_onset_lock,40,0,41,50822,41,1,-2,33,17,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,52362,pre_onset_lock,41,0,40,52402,40,-2,0,3,-31,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,55479,pre_onset_lock,41,0,40,55519,40,-2,0,-28,-9,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,56648,pre_onset_lock,97,1,52,56700,52,-4,4,-40,22,0,1,frontier_black_collision,28,gate_exact_death
1,1,307906,4692330403214779697,40,56700,pre_onset_lock,41,0,40,56740,40,-2,0,-38,22,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,60036,pre_onset_lock,36,0,41,60077,41,-3,2,-17,-28,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,61367,pre_onset_lock,29,0,60,61427,60,4,6,-38,1,0,1,frontier_black_collision,29,mute_early_death
1,1,307906,4692330403214779697,40,61431,pre_onset_lock,41,0,40,61471,40,-2,0,-40,3,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,65428,pre_onset_lock,57,0,41,65469,41,5,-2,27,26,1,0,missing_black,20,mute_early_death
1,1,307906,4692330403214779697,40,70168,pre_onset_lock,0,1,45,70213,45,-5,-2,27,-18,0,1,frontier_black_collision,21,gate_exact_death
1,1,307906,4692330403214779697,40,70294,pre_onset_lock,23,0,47,70341,47,0,7,27,-30,0,1,frontier_black_collision,25,mute_early_death
1,1,307906,4692330403214779697,40,70969,pre_onset_lock,40,0,41,71010,41,1,-2,9,-37,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,73772,pre_onset_lock,23,0,48,73820,48,0,8,36,-16,0,1,frontier_black_collision,26,mute_early_death
1,1,307906,4692330403214779697,40,77526,pre_onset_lock,24,1,77,77603,77,-1,2,-28,-11,1,0,missing_black,36,gate_exact_death
1,1,307906,4692330403214779697,40,77982,pre_onset_lock,40,0,41,78023,41,1,-2,-36,-1,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,78756,pre_onset_lock,41,0,40,78796,40,-2,0,-28,-34,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,82300,pre_onset_lock,40,0,41,82341,41,1,-2,41,26,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,84074,pre_onset_lock,40,0,41,84115,41,1,-2,2,-39,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,85024,pre_onset_lock,40,0,41,85065,41,1,-2,-35,-38,1,0,missing_black,23,mute_early_death
1,1,307906,4692330403214779697,40,85209,pre_onset_lock,48,0,50,85259,50,-1,-3,-32,-33,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,85428,pre_onset_lock,41,0,40,85468,40,-2,0,-30,-24,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,91298,pre_onset_lock,0,1,77,91375,77,-5,0,8,41,1,0,missing_black,36,gate_exact_death
1,1,307906,4692330403214779697,40,94474,pre_onset_lock,41,0,40,94514,40,-2,0,-9,43,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,95519,pre_onset_lock,0,1,45,95564,45,-5,-2,46,22,0,1,frontier_black_collision,21,gate_exact_death
1,1,307906,4692330403214779697,40,95564,pre_onset_lock,41,0,40,95604,40,-2,0,44,22,1,0,missing_black,22,mute_early_death
1,1,307906,4692330403214779697,40,99689,pre_onset_lock,103,1,134,99823,134,7,-3,-32,-19,0,1,frontier_black_collision,47,gate_exact_death
1,1,307906,4692330403214779697,80,99689,pre_onset_lock,103,1,134,99823,134,7,-3,-32,-19,0,1,frontier_black_collision,47,gate_exact_death
1,1,307906,4692330403214779697,40,99827,pre_onset_lock,29,0,87,99914,87,0,1,-33,-19,1,0,missing_black,35,mute_threshold_death
