predictor,Lpred,H,threshold,bin,bin_count_low,bin_count_high,bin_rate_low,bin_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
fresh_bite,3120,312,80,3,183,258,0.058653846153846154,0.08269230769230769,321093,0.2239731846999331,0.06976276523297958,1982,0.0061726664860336415
fresh_bite,3120,312,80,4,259,685,0.08301282051282051,0.21955128205128205,322556,0.20262725995351583,0.1079562670254402,4382,0.01358523791217649
fresh_bite,3120,1040,40,0,0,58,0.0,0.01858974358974359,325448,0.25937851487889296,0.0073600566146530795,71100,0.21846808092229789
fresh_bite,3120,1040,40,1,59,119,0.01891025641025641,0.038141025641025644,320102,0.24754313088338414,0.028743193876164433,89889,0.2808136156600084
fresh_bite,3120,1040,40,2,120,182,0.038461538461538464,0.058333333333333334,321911,0.2359349472607157,0.04835661696263034,112022,0.3479905936734066
fresh_bite,3120,1040,40,3,183,259,0.058653846153846154,0.08301282051282051,322921,0.22393304657583987,0.06988399818207032,124302,0.38493006029338445
fresh_bite,3120,1040,40,4,260,685,0.08333333333333333,0.21955128205128205,318946,0.20247824384556015,0.10820901862333211,151502,0.4750083086165056
fresh_bite,3120,1040,80,0,0,58,0.0,0.01858974358974359,325448,0.25937851487889296,0.0073600566146530795,2132,0.006550969740173545
fresh_bite,3120,1040,80,1,59,119,0.01891025641025641,0.038141025641025644,320102,0.24754313088338414,0.028743193876164433,3129,0.00977500921581246
fresh_bite,3120,1040,80,2,120,182,0.038461538461538464,0.058333333333333334,321911,0.2359349472607157,0.04835661696263034,5375,0.016697161637844002
fresh_bite,3120,1040,80,3,183,259,0.058653846153846154,0.08301282051282051,322921,0.22393304657583987,0.06988399818207032,5194,0.016084429318625918
fresh_bite,3120,1040,80,4,260,685,0.08333333333333333,0.21955128205128205,318946,0.20247824384556015,0.10820901862333211,10723,0.033620111241401365
